cluster,method,k,radius_cos,covered_frac
1,FPS,10,0.05,0.024691358024691357
1,FPS,10,0.1,0.024691358024691357
1,FPS,10,0.2,0.027160493827160494
1,FPS,10,0.3,0.05925925925925926
1,FPS,10,0.05,0.024691358024691357
1,FPS,10,0.1,0.024691358024691357
1,FPS,10,0.2,0.027160493827160494
1,FPS,10,0.3,0.05925925925925926
1,FPS,10,0.05,0.024691358024691357
1,FPS,10,0.1,0.024691358024691357
1,FPS,10,0.2,0.027160493827160494
1,FPS,10,0.3,0.05925925925925926
1,FPS,10,0.05,0.024691358024691357
1,FPS,10,0.1,0.024691358024691357
1,FPS,10,0.2,0.027160493827160494
1,FPS,10,0.3,0.05925925925925926
1,FPS,10,0.05,0.024691358024691357
1,FPS,10,0.1,0.024691358024691357
1,FPS,10,0.2,0.027160493827160494
1,FPS,10,0.3,0.05925925925925926
1,FPS,10,0.05,0.024691358024691357
1,FPS,10,0.1,0.024691358024691357
1,FPS,10,0.2,0.027160493827160494
1,FPS,10,0.3,0.05925925925925926
1,FPS,10,0.05,0.024691358024691357
1,FPS,10,0.1,0.024691358024691357
1,FPS,10,0.2,0.027160493827160494
1,FPS,10,0.3,0.05925925925925926
1,FPS,10,0.05,0.024691358024691357
1,FPS,10,0.1,0.024691358024691357
1,FPS,10,0.2,0.027160493827160494
1,FPS,10,0.3,0.05925925925925926
1,FPS,10,0.05,0.024691358024691357
1,FPS,10,0.1,0.024691358024691357
1,FPS,10,0.2,0.027160493827160494
1,FPS,10,0.3,0.05925925925925926
1,FPS,10,0.05,0.024691358024691357
1,FPS,10,0.1,0.024691358024691357
1,FPS,10,0.2,0.027160493827160494
1,FPS,10,0.3,0.05925925925925926
